I lost.|I lose.
I just haven't had a chance.|I just haven't have a chance.
I just keep finding excuses.|I just keep find excuses.
I just received your letter.|I just receive your letter.
I just wanted clarification.|I just want clarification.
I just wanted to be popular.|I just want to be popular.
I just wanted to go jogging.|I just want to go jogging.
I just wanted to play poker.|I just want to play poker.
I just wanted to say thanks.|I just want to say thanks.
I know Tom doesn't love you.|I know Tom don't love you.
I know Tom was disappointed.|I know Tom be disappointed.
I know how busy you've been.|I know how busy you've be.
I know something's going on.|I know something's go on.
I know what happened to Tom.|I know what happen to Tom.
I know what you're thinking.|I know what you're think.
I know where the blame goes.|I know where the blame go.
I know you recently retired.|I know you recently retire.
I learned a valuable lesson.|I learn a valuable lesson.
I like hanging out with you.|I like hang out with you.
I like it when it's snowing.|I like it when it's snow.
I like things done properly.|I like things do properly.
I lost my way in the forest.|I lose my way in the forest.
I love hanging out with you.|I love hang out with you.
I love sitting on the beach.|I love sit on the beach.
I made that dress by myself.|I make that dress by myself.
I made these clothes myself.|I make these clothes myself.
I never get sick of dancing.|I never get sick of dance.
I never made such a promise.|I never make such a promise.
I never said you were lying.|I never say you were lying.
I never talked to him again.|I never talk to him again.
I never wanted this, either.|I never want this, either.
I noticed her hands shaking.|I notice her hands shaking.
I only did the bare minimum.|I only do the bare minimum.
I only took a bite of bread.|I only take a bite of bread.
I only wanted to be helpful.|I only want to be helpful.
I opened a checking account.|I open a checking account.
I painted a picture for you.|I paint a picture for you.
I prefer reading to writing.|I prefer reading to write.
I prefer walking to cycling.|I prefer walk to cycling.
I read the report you wrote.|I read the report you write.
I really enjoyed last night.|I really enjoy last night.
I really loved working here.|I really love working here.
I really should have called.|I really should have call.
I received a good job offer.|I receive a good job offer.
I recorded our conversation.|I record our conversation.
I recovered from my illness.|I recover from my illness.
I regret becoming a teacher.|I regret become a teacher.
I remember locking the door.|I remember lock the door.
I remember when it happened.|I remember when it happen.
I rented a boat by the hour.|I rent a boat by the hour.
I saw him crossing the road.|I saw him cross the road.
I saw something interesting.|I saw something interest.
I see her sweeping the room.|I see her sweep the room.
I shook my head and said no.|I shook my head and say no.
I should not have said that.|I should not have say that.
I should've added more salt.|I should've add more salt.
I should've called a doctor.|I should've call a doctor.
I should've changed the oil.|I should've change the oil.
I should've listened to you.|I should've listen to you.
I should've said I was busy.|I should've say I was busy.
I shouldn't have gone there.|I shouldn't have go there.
I shouldn't have interfered.|I shouldn't have interfere.
I shouldn't have logged off.|I shouldn't have log off.
I showered before breakfast.|I shower before breakfast.
I started a fire right away.|I start a fire right away.
I still haven't decided yet.|I still haven't decide yet.
I stopped and gazed at them.|I stop and gazed at them.
I talked to her for an hour.|I talk to her for an hour.
I think I know where Tom is.|I think I know where Tom be.
I think I'm falling in love.|I think I'm fall in love.
I think Tom is following me.|I think Tom be following me.
I think Tom is going to die.|I think Tom be going to die.
I think Tom is here already.|I think Tom be here already.
I think Tom's leg is broken.|I think Tom's leg be broken.
I think everything is ready.|I think everything be ready.
I think maybe Tom was right.|I think maybe Tom be right.
I think my job is pointless.|I think my job be pointless.
I think that Tom lied to me.|I think that Tom lie to me.
I think that was very funny.|I think that be very funny.
I think that's where Tom is.|I think that's where Tom be.
I think the mistake is mine.|I think the mbetake be mine.
I think we are in agreement.|I think we be in agreement.
I think we're finished here.|I think we're finish here.
I think we're getting close.|I think we're get close.
I think we've got a problem.|I think we've get a problem.
I think you've gone too far.|I think you've go too far.
I thought I was being smart.|I thought I be being smart.
I thought I was going crazy.|I thought I be going crazy.
I thought Tom had a day off.|I thought Tom have a day off.
I thought Tom liked riddles.|I thought Tom like riddles.
I thought Tom was at school.|I thought Tom be at school.
I thought Tom was in prison.|I thought Tom be in prison.
I thought Tom was in school.|I thought Tom be in school.
I thought he was my brother.|I thought he be my brother.
I thought something was odd.|I thought something be odd.
I thought that Tom was kind.|I thought that Tom be kind.
I thought that he was angry.|I thought that he be angry.
I thought that was your job.|I thought that be your job.
I thought the game was over.|I thought the game be over.
I thought the show was over.|I thought the show be over.
I thought you liked it here.|I thought you like it here.
I thought you liked parties.|I thought you like parties.
I thought you were a friend.|I thought you be a friend.
I thought you were bluffing.|I thought you be bluffing.
I thought you were finished.|I thought you be finished.
I told you it was dangerous.|I told you it be dangerous.
I took a cab to the station.|I take a cab to the station.
I took an arrow in the knee.|I take an arrow in the knee.
I took an early flight home.|I take an early flight home.
I took over my father's job.|I take over my father's job.
I used to be a teacher here.|I use to be a teacher here.
I used to have a girlfriend.|I use to have a girlfriend.
I used to have a motorcycle.|I use to have a motorcycle.
I visited my father's grave.|I visit my father's grave.
I want this building locked.|I want this building lock.
I want to keep working here.|I want to keep work here.
I want to know what love is.|I want to know what love be.
I want to know what that is.|I want to know what that be.
I want to know who did that.|I want to know who do that.
I want to know who they are.|I want to know who they be.
I warned him not to be late.|I warn him not to be late.
I was absent from the party.|I be absent from the party.
I was amazed at his courage.|I be amazed at his courage.
I was bitterly disappointed.|I be bitterly disappointed.
I was bored with his speech.|I be bored with his speech.
I was born in Kyoto in 1980.|I be born in Kyoto in 1980.
I was born in Osaka in 1977.|I be born in Osaka in 1977.
I was born on April 3, 1950.|I be born on April 3, 1950.
I was jealous of my brother.|I be jealous of my brother.
I was miserable without you.|I be miserable without you.
I was never good at grammar.|I be never good at grammar.
I was off duty at that time.|I be off duty at that time.
I was quite shocked by this.|I be quite shocked by this.
I was scolded by my teacher.|I be scolded by my teacher.
I was starting to lose hope.|I be starting to lose hope.
I was told never to do that.|I be told never to do that.
I was too busy to write you.|I be too busy to write you.
I was tricked into doing it.|I be tricked into doing it.
I was trying to talk to you.|I be trying to talk to you.
I was up all night studying.|I be up all night studying.
I wasn't competitive enough.|I ben't competitive enough.
I wasn't sure I could do it.|I ben't sure I could do it.
I watched an American drama.|I watch an American drama.
I went to the wrong address.|I go to the wrong address.
I went to the zoo yesterday.|I go to the zoo yesterday.
I wish I were a millionaire.|I wish I be a millionaire.
I wish you had come with us.|I wish you have come with us.
I wish you had told me that.|I wish you have told me that.
I wish you hadn't done that.|I wish you haven't done that.
I wish you were close to me.|I wish you be close to me.
I wonder if dinner is ready.|I wonder if dinner be ready.
I wonder where she has gone.|I wonder where she have gone.
I wonder why he is so angry.|I wonder why he be so angry.
I wrote a letter in English.|I write a letter in English.
I wrote a letter last night.|I write a letter last night.
I'd like to know what it is.|I'd like to know what it be.
I'll be seeing him tomorrow.|I'll be see him tomorrow.
I'll tell Tom you were here.|I'll tell Tom you be here.
I'm deeply offended by this.|I'm deeply offend by this.
I'm done fooling around now.|I'm do fooling around now.
I'm fond of taking pictures.|I'm fond of take pictures.
I'm getting tired of losing.|I'm get tired of losing.
I'm going shopping tomorrow.|I'm go shopping tomorrow.
I'm going to be your lawyer.|I'm go to be your lawyer.
I'm going to buy some bread.|I'm go to buy some bread.
I'm going to miss you a lot.|I'm go to miss you a lot.
I'm going to need your help.|I'm go to need your help.
I'm going to propose to her.|I'm go to propose to her.
I'm going to shoot him dead.|I'm go to shoot him dead.
I'm going to swim every day.|I'm go to swim every day.
I'm going to tell everybody.|I'm go to tell everybody.
I'm having trouble focusing.|I'm have trouble focusing.
I'm having trouble sleeping.|I'm have trouble sleeping.
I'm just looking, thank you.|I'm just look, thank you.
I'm looking for another job.|I'm look for another job.
I'm looking for the manager.|I'm look for the manager.
I'm looking forward to that.|I'm look forward to that.
I'm not allowed to help you.|I'm not allow to help you.
I'm not ashamed of who I am.|I'm not ashbeed of who I be.
I'm not going to allow that.|I'm not go to allow that.
I'm not going to name names.|I'm not go to name names.
I'm not good at negotiating.|I'm not good at negotiate.
I'm not suggesting anything.|I'm not suggest anything.
I'm not talking to you, Tom.|I'm not talk to you, Tom.
I'm now busy writing a book.|I'm now busy write a book.
I'm playing with my friends.|I'm play with my friends.
I'm saving as much as I can.|I'm save as much as I can.
I'm seeing her this evening.|I'm see her this evening.
I'm sorry I was rude to you.|I'm sorry I be rude to you.
I'm sorry you're leaving us.|I'm sorry you're leave us.
I'm sorry, my father is out.|I'm sorry, my father be out.
I'm starting to dislike her.|I'm start to dislike her.
I'm still thinking about it.|I'm still think about it.
I'm studying French grammar.|I'm study French grammar.
I'm studying in the library.|I'm study in the library.
I'm taking a walk in a park.|I'm take a walk in a park.
I'm used to staying up late.|I'm use to staying up late.
I'm wondering if I love Tom.|I'm wonder if I love Tom.
I'm wondering if I love her.|I'm wonder if I love her.
I'm wondering if I love him.|I'm wonder if I love him.
I've always liked that name.|I've always like that name.
I've been accused of murder.|I've be accused of murder.
I've been asked to help out.|I've be asked to help out.
I've been in trouble before.|I've be in trouble before.
I've been thinking about it.|I've be thinking about it.
I've been to Hong Kong once.|I've be to Hong Kong once.
I've been waiting all night.|I've be waiting all night.
I've been waiting for hours.|I've be waiting for hours.
I've been worried all along.|I've be worried all along.
I've decided to go by train.|I've decide to go by train.
I've decided to study kanji.|I've decide to study kanji.
I've eaten all the crackers.|I've eat all the crackers.
I've figured out the puzzle.|I've figure out the puzzle.
I've gone and caught a cold.|I've go and caught a cold.
I've got a rope in my trunk.|I've get a rope in my trunk.
I've got a touch of the flu.|I've get a touch of the flu.
I've got so much left to do.|I've get so much left to do.
I've got some business here.|I've get some business here.
I've had a really weird day.|I've have a really weird day.
I've heard that Tom is sick.|I've heard that Tom be sick.
I've heard you've been sick.|I've heard you've be sick.
I've known him for one year.|I've know him for one year.
I've lost patience with Tom.|I've lose patience with Tom.
I've never been here before.|I've never be here before.
I've never been to Istanbul.|I've never be to Istanbul.
I've never done this before.|I've never do this before.
I've never seen that before.|I've never see that before.
I've often seen him bullied.|I've often see him bullied.
Iceland belonged to Denmark.|Iceland belong to Denmark.
If you don't know, who does?|If you don't know, who do?
In that case, you are right.|In that case, you be right.
In the end, he did not come.|In the end, he do not come.
In what month were you born?|In what month be you born?
Is Tom aware of what he did?|Is Tom aware of what he do?
Is anyone going to eat that?|Is anyone go to eat that?
Is eating fish good for you?|Is eat fish good for you?
Is it made of wood or metal?|Is it make of wood or metal?
Is that really all there is?|Is that really all there be?
Is this made in Switzerland?|Is this make in Switzerland?
Is this man threatening you?|Is this man threaten you?
It doesn't look good at all.|It don't look good at all.
It happened a long time ago.|It happen a long time ago.
It happened three hours ago.|It happen three hours ago.
It has been fine for a week.|It have been fine for a week.
It has to be tomorrow night.|It have to be tomorrow night.
It is a nice view from here.|It be a nice view from here.
It is a sheer waste of time.|It be a sheer waste of time.
It is a very strange letter.|It be a very strange letter.
It is an endangered species.|It be an endangered species.
It is easier than I thought.|It be easier than I thought.
It is easy to work in jeans.|It be easy to work in jeans.
It is getting dark outdoors.|It be getting dark outdoors.
It is kind of you to say so.|It be kind of you to say so.
It is none of your business.|It be none of your business.
It is not the best solution.|It be not the best solution.
It is not worth the trouble.|It be not worth the trouble.
It is ten minutes to eleven.|It be ten minutes to eleven.
It is time to shut the gate.|It be time to shut the gate.
It is unlike him to be late.|It be unlike him to be late.
It makes all the difference.|It make all the difference.
It only takes a few minutes.|It only take a few minutes.
It rained a lot that winter.|It rain a lot that winter.
It rained all day yesterday.|It rain all day yesterday.
It rained heavily yesterday.|It rain heavily yesterday.
It rained three days on end.|It rain three days on end.
It rained yesterday evening.|It rain yesterday evening.
It seemed to be a good idea.|It seem to be a good idea.
It seems to be a good house.|It seem to be a good house.
It snowed all day yesterday.|It snow all day yesterday.
It started a chain reaction.|It start a chain reaction.
It suddenly started raining.|It suddenly start raining.
It was a resounding success.|It be a resounding success.
It was a very exciting game.|It be a very exciting game.
It was all your imagination.|It be all your imagination.
It was an immediate success.|It be an immediate success.
It was easy for me to do so.|It be easy for me to do so.
It was late, so I went home.|It be late, so I went home.
It was not an easy decision.|It be not an easy decision.
It was the only thing to do.|It be the only thing to do.
It was too difficult for me.|It be too difficult for me.
It was very windy yesterday.|It be very windy yesterday.
It will be snowing tomorrow.|It will be snow tomorrow.
It's a complicated question.|It's a complicate question.
It's about time I was going.|It's about time I be going.
It's been more than a month.|It's be more than a month.
It's been snowing all night.|It's be snowing all night.
It's getting out of control.|It's get out of control.
It's going to clear up soon.|It's go to clear up soon.
It's more fun than studying.|It's more fun than study.
It's never been done before.|It's never be done before.
It's nice to be appreciated.|It's nice to be appreciate.
It's no use trying anything.|It's no use try anything.
It's not as bad as it seems.|It's not as bad as it seem.
It's not going to take long.|It's not go to take long.
It's not like it used to be.|It's not like it use to be.
It's not supposed to be fun.|It's not suppose to be fun.
It's not supposed to happen.|It's not suppose to happen.
It's really humid, isn't it?|It's really humid, ben't it?
It's starting to grow on us.|It's start to grow on us.
It's very cold this evening.|It's very cold this even.
It's what we always planned.|It's what we always plan.
Just don't get involved, OK?|Just don't get involve, OK?
Kyoto has many universities.|Kyoto have many universities.
Learning calligraphy is fun.|Learning calligraphy be fun.
Leave the book where it was.|Leave the book where it be.
Let's get the party rolling.|Let's get the party roll.
Let's get the party started.|Let's get the party start.
Let's give it all we've got.|Let's give it all we've get.
Let's pretend we are ninjas.|Let's pretend we be ninjas.
Living conditions were hard.|Living conditions be hard.
Two boys are fighting.|Two boys be fighting.
Look, here comes your train.|Look, here come your train.
Many people are on vacation.|Many people be on vacation.
Mario is an Italian citizen.|Mario be an Italian citizen.
Mary had a girls' night out.|Mary have a girls' night out.
Mary helped her mother cook.|Mary help her mother cook.
Mary is alone in the forest.|Mary be alone in the forest.
May I have a second helping?|May I have a second help?
Maybe what you said is true.|Maybe what you say is true.
Metal contracts when cooled.|Metal contracts when cool.
Milk does not agree with me.|Milk do not agree with me.
Milk doesn't mix with water.|Milk don't mix with water.
Money doesn't grow on trees.|Money don't grow on trees.
Money is welcome everywhere.|Money be welcome everywhere.
Most of my friends are guys.|Most of my friends be guys.
Mother is making tea for us.|Mother be making tea for us.
Murder is punished by death.|Murder be punbehed by death.
My birthday is October 20th.|My birthday be October 20th.
My blood type is A positive.|My blood type be A positive.
My boyfriend is not a loser.|My boyfriend be not a loser.
My clock seems to be broken.|My clock seem to be broken.
My credit card is maxed out.|My credit card be maxed out.
My dad doesn't let me drive.|My dad don't let me drive.
My dog is dreaming of a cat.|My dog be dreaming of a cat.
My dream is to study abroad.|My dream be to study abroad.
My family are all very well.|My family be all very well.
My family is not that large.|My family be not that large.
My family is not very large.|My family be not very large.
My father came home at nine.|My father come home at nine.
My father has gone to China.|My father have gone to China.
My father is a heavy smoker.|My father be a heavy smoker.
My father is an early riser.|My father be an early rbeer.
My father is in his fifties.|My father be in hbe fifties.
My father made me what I am.|My father make me what I am.
My favorite sport is skiing.|My favorite sport be skiing.
My grades are above average.|My grades be above average.
My grandmother was a farmer.|My grandmother be a farmer.
My hair is as long as Tom's.|My hair be as long as Tom's.
My headache is finally gone.|My headache be finally gone.
My heart began to beat fast.|My heart begin to beat fast.
My heart wasn't in the work.|My heart ben't in the work.
My hobby is taking pictures.|My hobby be taking pictures.
My house faces to the south.|My house face to the south.
My house is near the church.|My house be near the church.
My house is near the school.|My house be near the school.
My jeans shrank in the wash.   My little finger is swollen.|My jeans shrank in the wash.   My little finger be swollen.
My mother didn't mention it.|My mother don't mention it.
My mother has gone shopping.|My mother have gone shopping.
My mother is an early riser.|My mother be an early rbeer.
My mother is in the kitchen.|My mother be in the kitchen.
My mother made me a sweater.|My mother make me a sweater.
My neighbors are my friends.|My neighbors be my friends.
My older sister got engaged.|My older sister get engaged.
My parents are in Australia.|My pbents be in Australia.
My parents made me go there.|My parents make me go there.
My parents were proud of me.|My parents be proud of me.
My patience is wearing thin.|My patience be wearing thin.
My plan was adopted by them.|My plan be adopted by them.
My sister has a sweet tooth.|My sister have a sweet tooth.
My sister is a good swimmer.|My sbeter be a good swimmer.
My sister is engaged to him.|My sbeter be engaged to him.
My sister's getting married.|My sister's get married.
My son is small for his age.|My son be small for hbe age.
My uncle gave him a present.|My uncle give him a present.
My uncle gave his car to me.|My uncle give his car to me.
My uncle gave me this watch.|My uncle give me this watch.
My uncle has three children.|My uncle have three children.
My uncle lived to be ninety.|My uncle live to be ninety.
My wife is the boss at home.|My wife be the boss at home.
My work is not complete yet.|My work be not complete yet.
Nature is full of mysteries.|Nature be full of mysteries.
No man is wise at all times.|No man be wbee at all times.
No more than 50 people came.|No more than 50 people come.
No one answered my question.|No one answer my question.
No one believed me at first.|No one believe me at first.
No one is going to harm you.|No one be going to harm you.
No one is going to hurt you.|No one be going to hurt you.
No one made you do anything.|No one make you do anything.
No one's shooting at us now.|No one's shoot at us now.
No registration is required.|No regbetration be required.
Nobody answered my question.|Nobody answer my question.
Nobody believed what I said.|Nobody believe what I said.
Nobody had ever heard of it.|Nobody have ever heard of it.
Nobody wants to look stupid.|Nobody want to look stupid.
Nobody was hungry except me.|Nobody be hungry except me.
Nobody's going to blame you.|Nobody's go to blame you.
None of them wanted to talk.|None of them want to talk.
Not all girls are like that.|Not all girls be like that.
Not all of them are present.|Not all of them be present.
Not everything is about you.|Not everything be about you.
Nothing happened between us.|Nothing happen between us.
Nothing unexpected happened.|Nothing unexpected happen.
Nothing will stop his going.|Nothing will stop his go.
Obviously, it's not working.|Obviously, it's not work.
Ogai is his favorite author.|Ogai be hbe favorite author.
Oh come on, don't be scared.|Oh come on, don't be scar.
My house is on fire!|My house be on fire!
Our baby isn't speaking yet.|Our baby ben't speaking yet.
Our best friend is a doctor.|Our best friend be a doctor.
Our friendship did not last.|Our friendship do not last.
Our lives are in your hands.|Our lives be in your hands.
Our son died during the war.|Our son die during the war.
Our teacher is a real idiot.|Our teacher be a real idiot.
Our team lost all its games.|Our team lose all its games.
Perhaps he missed the train.|Perhaps he miss the train.
Playing tennis is his hobby.|Playing tennbe be hbe hobby.
Please excuse my being late.|Please excuse my be late.
Please find out where he is.|Please find out where he be.
Please tell Tom Mary called.|Please tell Tom Mary call.
Pus has formed in the wound.|Pus have formed in the wound.
Put the question in writing.|Put the question in write.
Rome was not built in a day.|Rome be not built in a day.
Rules are made to be broken.|Rules be made to be broken.
Safety is what matters most.|Safety be what matters most.
See if my answer is correct.|See if my answer be correct.
Selling cars is my business.|Selling cars be my business.
Several plans were proposed.|Several plans be proposed.
She advised him to exercise.|She advise him to exercise.
She advised him to go there.|She advise him to go there.
She allowed him to go alone.|She allow him to go alone.
She always gets her own way.|She always get her own way.
She appealed to me for help.|She appeal to me for help.
She approved of the wedding.|She approve of the wedding.
She asked him out on a date.|She ask him out on a date.
She asked me if I could sew.|She ask me if I could sew.
She attracted our attention.|She attract our attention.
She called him on the phone.|She call him on the phone.
She came back an hour later.|She come back an hour later.
She closed her diary slowly.|She close her diary slowly.
She couldn't have said that.|She couldn't have say that.
She decided on a blue dress.|She decide on a blue dress.
She decided to have surgery.|She decide to have surgery.
She decided to study abroad.|She decide to study abroad.
She declined the invitation.|She decline the invitation.
She did it for her children.|She do it for her children.
She did not return till six.|She do not return till six.
She did not walk to the gym.|She do not walk to the gym.
She did so out of curiosity.|She do so out of curiosity.
She didn't even try to help.|She don't even try to help.
She didn't give me her name.|She don't give me her name.
She didn't like her husband.|She don't like her husband.
She didn't take many photos.|She don't take many photos.
She died in a bike accident.|She die in a bike accident.
She disappeared in the dark.|She disappear in the dark.
She doesn't have the ticket.|She don't have the ticket.
She dressed herself quickly.|She dress herself quickly.
She explained it over again.|She explain it over again.
She gave him a lot of money.|She give him a lot of money.
She gave him a nice present.|She give him a nice present.
She gave him his first kiss.|She give him his first kiss.
She gave me these old coins.|She give me these old coins.
She greeted me with a smile.|She greet me with a smile.
She greeted us with a smile.|She greet us with a smile.
She guided me to the palace.|She guide me to the palace.
She had long hair last year.|She have long hair last year.
She has a gift for prophecy.|She have a gift for prophecy.
She has buried her only son.|She have buried her only son.
She has him under her thumb.|She have him under her thumb.
She has many valuable books.|She have many valuable books.
She has such beautiful eyes.|She have such beautiful eyes.
She hurried across the lawn.|She hurry across the lawn.
She ignored all my warnings.|She ignore all my warnings.
She intended to go shopping.|She intend to go shopping.
She is a short story writer.|She be a short story writer.
She is always neat and tidy.|She be always neat and tidy.
She is an excellent student.|She be an excellent student.
She is as beautiful as ever.|She be as beautiful as ever.
She is certainly over forty.|She be certainly over forty.
She is contemplating a trip.|She be contemplating a trip.
She is dressed like a bride.|She be dressed like a bride.
She is drunk with happiness.|She be drunk with happiness.
She is extremely attractive.|She be extremely attractive.
She is gracious to everyone.|She be gracious to everyone.
She is in low spirits today.|She be in low spirits today.
She is muttering to herself.|She be muttering to herself.
She is peeling the potatoes.|She be peeling the potatoes.
She is qualified as a nurse.|She be qualified as a nurse.
She is really into knitting.|She be really into knitting.
She is sitting on the bench.|She be sitting on the bench.
She is the executive editor.|She be the executive editor.
She is used to living alone.|She be used to living alone.
She is very annoyed with me.|She be very annoyed with me.
She is very fond of flowers.|She be very fond of flowers.
She is watering the flowers.|She be watering the flowers.
She is wearing a blue dress.|She be wearing a blue dress.
She is wearing a nice watch.|She be wearing a nice watch.
She is writing a letter now.|She be writing a letter now.
She killed him with a knife.|She kill him with a knife.
She kissed him on the cheek.|She kiss him on the cheek.
She looked at me and smiled.|She look at me and smiled.
She loved her mother dearly.|She love her mother dearly.
She made a mess of the work.|She make a mess of the work.
She made a new suit for him.|She make a new suit for him.
She made fun of her husband.|She make fun of her husband.
She made him clean his room.|She make him clean his room.
She never stops complaining.|She never stops complain.
She painted the walls white.|She paint the walls white.
She passed out on the floor.|She pass out on the floor.
She proposed giving a party.|She propose giving a party.
She pushed him off the pier.|She push him off the pier.
She pushed him out the door.|She push him out the door.
She raced him down the hill.|She race him down the hill.
She really got on my nerves.|She really get on my nerves.
She remained silent all day.|She remain silent all day.
She said she had been happy.|She say she had been happy.
She said that she was happy.|She say that she was happy.
She seemed to have been ill.   She should be there at noon.|She seem to have been ill.   She should be there at noon.
She slapped him in the face.|She slap him in the face.
She smiled and said goodbye.|She smile and said goodbye.
She started from the summit.|She start from the summit.
She stopped picking daisies.|She stop picking daisies.
She took a sip of her drink.|She take a sip of her drink.
She treated him like a king.|She treat him like a king.
She tried to commit suicide.|She try to commit suicide.
She turned down my proposal.|She turn down my proposal.
She turned pale at the news.|She turn pale at the news.
She urged him to do the job.|She urge him to do the job.
She visited him once a year.|She visit him once a year.
She volunteered to help him.|She volunteer to help him.
She wanted to go out anyway.|She want to go out anyway.
She wants me to go with her.|She want me to go with her.
She wants to meet him again.|She want to meet him again.
She was a middle-aged woman.|She be a middle-aged woman.
She was almost hit by a car.|She be almost hit by a car.
She was born in Switzerland.|She be born in Switzerland.
She was busy with housework.|She be busy with housework.
She was holding an umbrella.|She be holding an umbrella.
She was in time for the bus.|She be in time for the bus.
She was my first girlfriend.|She be my first girlfriend.
She was robbed of her purse.|She be robbed of her purse.
She was wearing a black hat.|She be wearing a black hat.
She was wearing a blue coat.|She be wearing a blue coat.
She wasn't able to meet him.|She ben't able to meet him.
She went shopping elsewhere.|She go shopping elsewhere.
She won't call this evening.|She won't call this even.
She's digging her own grave.|She's dig her own grave.
She's looking the other way.|She's look the other way.
She's not the marrying type.|She's not the marry type.
Shops are quiet on weekdays.|Shops be quiet on weekdays.
Skiing is my favorite sport.|Skiing be my favorite sport.
Sleep on it before deciding.|Sleep on it before decide.
Smoking in bed is dangerous.|Smoking in bed be dangerous.
So, what happened this time?|So, what happen this time?
Soccer is my favorite sport.|Soccer be my favorite sport.
Some of them are my friends.|Some of them be my friends.
Someone has to pay the bill.|Someone have to pay the bill.
Someone is calling for help.|Someone be calling for help.
Someone knocked on the door.|Someone knock on the door.
Someone was calling my name.|Someone be calling my name.
Someone's going to hurt Tom.|Someone's go to hurt Tom.
Someone's taken my umbrella.|Someone's take my umbrella.
Something fishy is going on.|Something fbehy be going on.
Sorry I didn't reply sooner.|Sorry I don't reply sooner.
Sorry, I didn't notice that.|Sorry, I don't notice that.
Sorry, something went wrong.|Sorry, something go wrong.
Sorry, the line is busy now.|Sorry, the line be busy now.
Spanish is spoken in Mexico.|Spanbeh be spoken in Mexico.
Speaking English isn't easy.|Speaking Englbeh ben't easy.
Still, the war was not over.|Still, the war be not over.
Stop pestering me, I'm busy.|Stop pester me, I'm busy.
You're making him cry.|You're make him cry.
Strangely enough, he failed.|Strangely enough, he fail.
Tell Tom that I'm exhausted.|Tell Tom that I'm exhaust.
Tell me where Tom took Mary.|Tell me where Tom take Mary.
Ten houses were burned down.|Ten houses be burned down.
Thank you for picking me up.|Thank you for pick me up.
Thanks for bringing me here.|Thanks for bring me here.
That affair made him famous.|That affair make him famous.
That brown one is mine, too.|That brown one be mine, too.
That building is our school.|That building be our school.
That classroom is too small.|That classroom be too small.
That girl has a lovely doll.|That girl have a lovely doll.
That girl is very beautiful.|That girl be very beautiful.
That guy is completely nuts!|That guy be completely nuts!
That house appears deserted.|That house appear deserted.
That house needs repainting.|That house needs repaint.
That is just typical of him.|That be just typical of him.
That is out of the question.|That be out of the question.
That is what I want to know.|That be what I want to know.
That is where you are wrong.|That be where you are wrong.
That man is unworthy of you.|That man be unworthy of you.
That meal was simply divine.|That meal be simply divine.
That place is always packed.|That place be always packed.
That really isn't necessary.|That really ben't necessary.
That room is not very large.|That room be not very large.
That seems like a good idea.|That seem like a good idea.
That sounded like a gunshot.|That sound like a gunshot.
That statement is incorrect.|That statement be incorrect.
That town is two miles away.|That town be two miles away.
That was a beautiful speech.|That be a beautiful speech.
That was a pretty good move.|That be a pretty good move.
That was just another party.|That be just another party.
That was just what I needed.|That be just what I needed.
That wasn't what I intended.|That ben't what I intended.
That's all I needed to hear.|That's all I need to hear.
That's all I needed to know.|That's all I need to know.
That's all I wanted to hear.|That's all I want to hear.
That's all I wanted to know.|That's all I want to know.
That's all I'm trying to do.|That's all I'm try to do.
That's exactly what he said.|That's exactly what he say.
That's just what you needed.|That's just what you need.
That's more than I expected.|That's more than I expect.
That's not going to stop me.|That's not go to stop me.
That's not what I asked you.|That's not what I ask you.
That's not what I was doing.|That's not what I be doing.
That's what friends are for.|That's what friends be for.
That's where the problem is.|That's where the problem be.
That's why I did what I did.|That's why I do what I do.
The Sahara is a vast desert.|The Sahara be a vast desert.
The air is pure around here.|The air be pure around here.
The arrow missed its target.|The arrow miss its target.
The baby screamed all night.|The baby scream all night.
The bed is very comfortable.|The bed be very comfortable.
The bellows are not working.|The bellows be not working.
The boat drifted out to sea.|The boat drift out to sea.
The boy is tall for his age.|The boy be tall for hbe age.
The bridge is built of wood.|The bridge be built of wood.
The bucket is full of water.|The bucket be full of water.
The budget must be balanced.|The budget must be balance.
The bus was hot and crowded.|The bus be hot and crowded.
The cap is too small for me.|The cap be too small for me.
The castle might be haunted.|The castle might be haunt.
The cattle starved to death.|The cattle starve to death.
The chairs are made of wood.|The chairs be made of wood.
The choice is all up to you.|The choice be all up to you.
The coat is too big for Tom.|The coat be too big for Tom.
The computer is to her left.|The computer be to her left.
The corporal is on furlough.|The corporal be on furlough.
The crew abandoned the ship.|The crew abandon the ship.
The days are getting longer.|The days be getting longer.
The days are growing longer.|The days be growing longer.
The deadline is approaching.|The deadline be approaching.
The deadlock was inevitable.|The deadlock be inevitable.
The deal did not go through.|The deal do not go through.
The devil is in the details.|The devil be in the details.
The diamond appears genuine.|The diamond appear genuine.
The dog didn't eat the meat.|The dog don't eat the meat.
The dog was frozen to death.|The dog be frozen to death.
The door was partially open.|The door be partially open.
The enemy attacked the town.|The enemy attack the town.
The experiment has to begin.|The experiment have to begin.
The fire went out by itself.|The fire go out by itself.
The first stage is complete.|The first stage be complete.
The fish tasted like salmon.|The fish taste like salmon.
The food was great in Italy.|The food be great in Italy.
The gate is closed at eight.|The gate be closed at eight.
The girl cried out for help.|The girl cry out for help.
The girl trembled with fear.|The girl tremble with fear.
The goods arrived undamaged.|The goods arrive undamaged.
The goods arrived yesterday.|The goods arrive yesterday.
The guy with a beard is Tom.|The guy with a beard be Tom.
The hail cracked the window.|The hail crack the window.
